merchant_id,gpv_monthly,quota_attainment,tenure_months,support_tickets_30d,failed_payouts_30d,merchant_tier,churned
MCH-10000,28463.404498842956,0.8329990723051863,55,2,2,Mid-Market,0
MCH-10001,155506.07154587604,0.9207792253125237,32,1,0,SMB,0
MCH-10002,70837.28467727247,1.3400021325223985,36,1,0,Mid-Market,0
MCH-10003,50647.127688797664,0.7740048246658814,50,1,0,SMB,0
MCH-10004,13481.243523117315,1.3566146532933885,37,0,0,SMB,0
MCH-10005,13479.814595730259,0.4969478740743607,48,0,0,Mid-Market,0
MCH-10006,7991.938430434034,1.2544782809294939,14,2,0,SMB,0
MCH-10007,105561.54322399698,1.33230239636021,27,1,1,Mid-Market,0
MCH-10008,50954.107681363224,0.5999994181210726,59,7,0,Mid-Market,0
MCH-10009,66562.50308522952,0.8733811856094205,19,1,0,Mid-Market,0
MCH-10010,6039.965399956931,0.5820497521300212,31,1,0,SMB,0
MCH-10011,180177.8737579156,1.1772645418936396,46,1,0,Enterprise,0
MCH-10012,94321.47716773376,0.9888825448678225,9,2,1,Mid-Market,0
MCH-10013,16934.38126244735,1.0988556813791532,38,4,0,SMB,0
MCH-10014,15033.949437483168,0.6161356636518323,17,2,0,SMB,1
MCH-10015,15130.571141612852,0.6329204482576615,19,1,0,SMB,0
MCH-10016,23137.686473023856,0.44564705806089705,44,1,0,SMB,0
MCH-10017,42196.39154304272,0.7542742887153028,4,1,0,Enterprise,0
MCH-10018,33276.85333901683,1.0157191274670425,48,0,0,SMB,0
MCH-10019,22211.149627697076,1.3437284053970617,57,4,2,Mid-Market,0
MCH-10020,52318.54369498994,1.1336201922045488,11,1,1,SMB,0
MCH-10021,12511.726436366935,0.8789359557397266,22,3,1,SMB,0
MCH-10022,22275.775600120112,1.4484321258335515,4,3,2,Enterprise,0
MCH-10023,27813.860911042353,1.191169720633415,17,3,0,SMB,1
MCH-10024,35446.73439298875,1.4231817231488053,8,2,1,SMB,0
MCH-10025,81896.8005515456,0.9803467705993824,46,2,0,Enterprise,0
MCH-10026,16136.793106434514,0.6847947022724536,59,3,1,Enterprise,0
MCH-10027,41101.45775165639,0.4581093550011942,34,2,0,Mid-Market,0
MCH-10028,49875.236065488025,1.1986933366322357,11,0,0,Mid-Market,0
MCH-10029,7378.192487820427,0.5334332978060876,31,3,0,Mid-Market,0
MCH-10030,51766.651032480506,0.733052641099164,11,2,1,SMB,0
MCH-10031,14348.062598870822,0.9857179986722872,56,4,1,Mid-Market,0
MCH-10032,8363.196543965212,1.0208582465577225,54,2,0,Enterprise,0
MCH-10033,153684.38967534655,1.0606415166858496,56,1,0,SMB,0
MCH-10034,173531.5171230586,0.5828808633846707,38,3,0,SMB,0
MCH-10035,87616.57864064383,0.8177111453038137,53,2,1,SMB,0
MCH-10036,23164.392998437914,1.0789136498286633,21,2,1,Mid-Market,0
MCH-10037,10138.865750125311,1.4668007510971632,46,0,0,SMB,0
MCH-10038,62637.538154933085,1.2003942514696577,30,0,0,Mid-Market,0
MCH-10039,34004.54212926992,1.4148641328033538,10,4,1,SMB,0
MCH-10040,11507.611697722432,1.2384332641455948,26,1,1,Mid-Market,0
MCH-10041,39177.36140670751,1.0508886657816405,27,2,0,SMB,0
MCH-10042,6749.686072173954,0.6112257060499791,8,1,0,SMB,0
MCH-10043,125021.14436965119,1.1333542170817643,39,1,0,Mid-Market,0
MCH-10044,19972.888842034306,1.085717522555898,8,1,1,SMB,0
